id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
"8be534c1-1507-4eaa-a2a7-d3ddfecd8b35",97,Zambia,Africa,1.64,1.25,17.37,98.49,316501,0,3966,0,311731,0,804,3346905,19273185,61,4860,6,206.0,0,173656,16422
"a4a08077-a4ec-4cca-a3f9-da0271e814a2",98,"North Macedonia",Europe,14.64,3.02,91.42,96.31,305066,188,9206,3,293819,119,2041,1904444,2083226,7,226,1,4419.0,0,914180,146439
"fddf0a3a-754d-4938-bf36-23233f4a20ff",99,Albania,Europe,9.52,1.28,61.73,98.54,273387,0,3491,0,269399,0,497,1772991,2872364,11,823,2,1215.0,13,617258,95178
"c1312566-0372-4b3f-b856-2ab3f468b8f2",100,Algeria,Africa,0.59,2.59,0.51,67.11,265629,8,6873,0,178251,8,80505,230861,45219368,170,6579,196,152.0,10,5105,5874
"b9dfb35b-fcd7-4235-88db-3164f085fe32",101,Botswana,Africa,10.85,0.99,83.29,98.29,263950,0,2619,0,259434,0,1897,2026898,2433668,9,929,1,1076.0,1,832857,108458
"97dd3c39-1d10-44f7-b8db-6719494b8cd1",102,Nigeria,Africa,0.12,1.23,2.2,97.73,255296,0,3142,0,249495,0,2659,4726096,214965338,842,68417,45,15.0,11,21985,1188
"09427c33-6194-4989-a06e-4d6d52518b06",103,Zimbabwe,Africa,1.61,2.21,14.28,96.29,245767,0,5437,0,236659,0,3671,2175748,15236870,62,2802,7,357.0,12,142795,16130
"c0e96d03-21df-42c0-a932-ec088d305cba",104,Uzbekistan,Asia,0.69,0.69,4.02,99.07,237641,52,1637,0,235430,86,574,1377915,34307549,144,20958,25,48.0,23,40164,6927
"e4a3c6fe-8601-48ca-b352-666fda42efef",105,Montenegro,Europe,37.05,1.16,191.94,98.56,232777,50,2698,0,229422,75,657,1205803,628203,3,233,1,4295.0,6,1919448,370544
"11b1c43d-0f5c-4503-855a-6bc5588790e2",106,Mozambique,Africa,0.69,0.98,3.95,98.59,225239,2,2200,0,222063,2,976,1293982,32767838,145,14894,25,67.0,13,39489,6874
"a1f7abfd-5e25-4c08-955a-c61a8ad19665",107,Luxembourg,Europe,32.35,0.49,643.6,91.17,208223,0,1025,0,189841,0,17357,4142082,643578,3,628,0,1593.0,3,6436022,323540
"a173c7c0-6c68-4505-a21e-303b977f4432",108,Kyrgyzstan,Asia,2.99,1.49,28.42,97.66,200879,11,2984,0,196170,16,1725,1907195,6710214,33,2249,4,445.0,131,284223,29936
"4fd8c9f5-b433-4ae4-b8a0-3b04a1841304",109,Iceland,Europe,51.7,0.05,542.22,42.43,178385,0,97,0,75685,0,102603,1871047,345072,2,3557,0,281.0,3,5422193,516950
"a22a19dd-cd37-4b17-bb78-214d939dcba6",110,Afghanistan,Asia,0.44,4.32,2.27,90.47,177520,41,7662,2,160597,114,9261,917326,40442976,228,5278,44,189.0,1124,22682,4389
"3aae6f72-2cd7-423d-9e01-c89c936d9d98",111,Maldives,Asia,31.36,0.17,397.46,93.72,174658,0,297,0,163687,0,10674,2213831,556996,3,1875,0,533.0,25,3974590,313571
"a07df09d-690a-4ca7-8d76-0b01a071ea51",112,Laos,Asia,2.25,0.39,13.58,4.56,167993,1466,660,6,7660,0,159673,1012890,7458029,44,11300,7,88.0,0,135812,22525
"38c9ecad-032b-490b-b53d-3926970e07e3",113,Uganda,Africa,0.34,2.19,5.27,61.13,163843,0,3595,0,100163,0,60085,2542633,48235494,294,13417,19,75.0,7,52713,3397
"0eabfcba-af61-47f8-9054-217d94a00c7d",114,"El Salvador","North America",2.46,2.56,28.24,87.64,161052,0,4116,0,141145,0,15791,1847861,6542786,41,1590,4,629.0,45,282427,24615
"45d2c117-d4d7-4ad4-92c2-a18419a2ac40",115,Ghana,Africa,0.5,0.9,7.49,99.06,160925,0,1445,0,159409,0,71,2410734,32193606,200,22279,13,45.0,1,74882,4999
"30371056-ab76-408a-ab94-6e90ea8d6727",116,Namibia,Africa,6.01,2.55,37.38,97.14,157576,0,4018,0,153069,0,489,979582,2620421,17,652,3,1533.0,3,373826,60134
"b191f56d-eaf8-4a97-b1d3-e220e20aa686",117,Martinique,"North America",37.73,0.64,215.59,0.07,141415,0,909,0,104,0,140402,807954,374762,3,412,0,2426.0,8,2155912,377346
"b1c7dda7-4fd3-4c84-9385-4a67aae6d0af",118,"Trinidad and Tobago","North America",9.7,2.73,47.42,91.72,136561,0,3729,0,125249,0,7583,667346,1407323,10,377,2,2650.0,18,474195,97036
"f01f73fb-71ea-4624-b07e-e86ac91bc8aa",119,Cambodia,Asia,0.79,2.25,17.07,97.01,135461,59,3054,0,131413,62,994,2921472,17118883,126,5605,6,178.0,0,170658,7913
"c784559e-003a-490b-9753-4b23ee5fdb39",120,Brunei,Asia,29.55,0.15,161.4,94.72,131403,792,202,0,124465,1560,6736,717784,444720,3,2202,1,454.0,10,1614013,295474
"30ac458c-b000-48f2-abc7-7c4c1c3e590c",121,Guadeloupe,"North America",32.66,0.64,234.37,1.72,130705,0,843,0,2250,0,127612,938039,400242,3,475,0,2106.0,19,2343680,326565
"1f86fa0e-6fd9-4730-87fd-0ddbc0f36c5a",122,Rwanda,Africa,0.96,1.12,37.57,35.1,129708,0,1458,0,45522,0,82728,5073959,13506841,104,9264,3,108.0,0,375658,9603
"6441ca62-ed56-432f-b0c0-3024122e2588",123,Jamaica,"North America",4.31,2.24,30.75,62.82,128679,18,2879,4,80830,157,44970,917304,2983512,23,1036,3,965.0,25,307458,43130
"34f83a43-85ad-481a-a2ee-85187b17353c",124,Cameroon,Africa,0.43,1.61,6.33,98.25,119544,0,1927,0,117455,0,162,1751774,27687317,232,14368,16,70.0,13,63270,4318
"b50812db-56f1-447e-968b-526934c83624",125,Angola,Africa,0.29,1.92,4.3,97.91,99106,0,1900,0,97037,0,169,1490293,34631760,349,18227,23,55.0,0,43033,2862
"cd1dfb64-b4f2-4661-b570-66a98c26eeb1",126,DRC,Africa,0.09,1.54,0.9,58.8,86611,0,1335,0,50930,0,34346,846704,94263560,1088,70609,111,14.0,0,8982,919
"35347f67-6496-45b8-b013-622e97792c33",127,Senegal,Africa,0.49,2.29,5.94,97.67,85868,8,1964,0,83871,9,33,1039551,17506073,204,8913,17,112.0,1,59382,4905
