,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
60,1fe0506d-1912-462f-880b-04c8ebeae16c,59,Lithuania,Europe,38.13,0.87,302.12,92.57,1013008,3043,8817,8,937732,5732,66459,8026496,2656738,3,301,0,3319.0,63,3021185,381298.0
61,6743d550-56b6-4a61-9ef4-67cd895e11ef,60,Nepal,Asia,3.26,1.22,18.39,98.6,978317,8,11951,0,964608,210,1758,5525573,30040964,31,2514,5,398.0,100,183935,32566.0
62,885c537d-9654-4502-8a5d-81bd424a659c,61,Belarus,Europe,10.15,0.71,135.57,96.87,958492,1404,6778,11,928536,0,23178,12803627,9443958,10,1393,1,718.0,0,1355748,101493.0
63,b9e72506-ad28-4266-8ab3-57bbb16ae65d,62,Slovenia,Europe,45.95,0.68,125.44,95.29,955473,2888,6471,2,910480,2294,38522,2608398,2079431,2,321,1,3112.0,50,1254381,459488.0
64,5b87d5fe-3ba9-42e8-bb88-09ae079e1fcb,63,Bolivia,South America,7.54,2.39,22.45,91.67,900845,0,21487,0,825786,0,53572,2682016,11947798,13,556,4,1798.0,220,224478,75398.0
65,5d7de038-91f5-4150-b3f0-ecb490d78997,64,UAE,Asia,8.81,0.26,1452.5,96.9,889797,341,2302,0,862229,834,25266,146653110,10096629,11,4386,0,228.0,0,14524958,88128.0
66,6a4f1e2a-ae9b-4d53-8966-3364c7e486ec,65,Uruguay,South America,25.25,0.81,170.26,98.17,882379,0,7149,0,866271,0,8959,5949686,3494510,4,489,1,2046.0,39,1702581,252504.0
67,f86d0349-d502-4895-bf64-3364728f10c0,66,Ecuador,South America,4.74,4.13,13.64,0.0,857299,0,35418,0,821881,0,0,2470170,18105342,21,511,7,1956.0,759,136433,47351.0
68,dc7c0e8c-ad34-446d-a695-59fe62ef8c2d,67,Finland,Europe,15.2,0.35,185.96,5.45,844713,0,2985,0,46000,0,795728,10331340,5555577,7,1861,1,537.0,32,1859634,152048.0
69,bb6306c0-534b-4377-9027-c92d4338c384,68,Costa Rica,North America,16.13,0.99,75.64,94.95,834726,0,8266,0,792603,0,33857,3913872,5174404,6,626,1,1597.0,73,756391,161318.0
70,c2273b77-1484-454b-a2a4-42478d4847df,69,Guatemala,North America,4.45,2.1,22.67,96.26,823145,0,17274,0,792328,0,13543,4191788,18487332,22,1070,4,934.0,5,226738,44525.0
71,0945c7b4-d129-4deb-9c5e-803aa859e387,70,Azerbaijan,Asia,7.69,1.22,64.89,98.73,791695,41,9679,4,781641,113,375,6681983,10296911,13,1064,2,940.0,0,648931,76887.0
72,681d9074-d938-4db5-935b-c3468192b7a5,71,Latvia,Europe,42.67,0.71,379.6,93.0,789483,2509,5572,3,734190,12704,49721,7023436,1850207,2,332,0,3012.0,31,3796027,426700.0
73,21d1365d-9bc7-4624-a17d-c30d5b86a35f,72,Panama,North America,17.22,1.07,127.86,98.57,763025,0,8162,0,752138,0,2725,5666600,4431967,6,543,1,1842.0,10,1278575,172164.0
74,8322c6dd-f9f8-4061-bf31-a64e1ba32344,73,Saudi Arabia,Asia,2.1,1.2,115.98,97.72,750258,79,9038,2,733146,207,8074,41462222,35749404,48,3955,1,253.0,148,1159802,20987.0
75,79b25104-b717-4a88-a9f8-deb868ddf519,74,Sri Lanka,Asia,3.06,2.49,29.53,96.41,660797,164,16454,2,637088,32,7255,6368159,21568226,33,1311,3,763.0,0,295257,30638.0
76,3a31a649-913a-4832-a625-b9ea1fc659c6,75,Paraguay,South America,8.89,2.88,35.43,96.37,647762,0,18662,0,624230,0,4870,2580904,7283738,11,390,3,2562.0,40,354338,88933.0
