,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
42,cc09f3b8-9fd0-44ca-859c-ad9524bf9f28,41,Serbia,Europe,22.66,0.8,104.97,97.26,1966078,1949,15737,10,1912122,2222,38219,9108141,8676719,4,551,1,1814.0,42,1049722,226592.0
43,c41513ff-6514-470a-b9f1-ff13a051cad2,42,Bangladesh,Asia,1.16,1.49,8.22,96.15,1951174,102,29118,0,1876148,1268,45908,13772647,167516707,86,5753,12,174.0,1264,82217,11648.0
44,d1e5413c-287a-449f-bd0d-6bfc56d0b365,43,Hungary,Europe,19.12,2.46,114.92,92.06,1839358,2439,45258,38,1693393,3933,100707,11053112,9618077,5,213,1,4706.0,70,1149202,191240.0
45,802162af-bec2-4b62-849e-4ecbf1d9c380,44,Jordan,Asia,16.28,0.83,159.72,98.79,1689314,0,14003,0,1668852,0,6459,16575546,10377676,6,741,1,1349.0,276,1597231,162783.0
46,785cd61b-3f21-4b2c-958a-ea07ecdad12c,45,Slovakia,Europe,30.65,1.15,124.41,91.8,1674586,8104,19229,20,1537224,9899,118133,6798172,5464200,3,284,1,3519.0,186,1244129,306465.0
47,81672076-33c2-48e4-81d2-db6ce456cc78,46,Georgia,Asia,41.38,1.01,409.55,97.96,1645301,590,16698,10,1611688,3247,16915,16283777,3975970,2,238,0,4200.0,0,4095548,413811.0
48,935ff8a6-77f1-4114-9403-9cbb7fa9cb99,47,Pakistan,Asia,0.67,1.99,11.96,97.46,1523401,329,30336,3,1484718,42,8347,27297869,228280137,150,7525,8,133.0,446,119581,6673.0
49,aed73591-ee4f-4d22-a0f3-3d025d0b7821,48,Ireland,Europe,28.27,0.47,232.97,89.78,1422945,9147,6710,17,1277486,4113,138749,11724746,5032827,4,750,0,1333.0,55,2329654,282733.0
50,4d14f059-2c26-4982-8132-fcc9a3e1deb3,49,Norway,Europe,25.35,0.17,179.31,0.0,1393061,0,2339,0,1390722,0,0,9852076,5494292,4,2349,1,426.0,20,1793148,253547.0
51,d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98,50,Kazakhstan,Asia,6.81,1.05,60.4,98.54,1304983,22,13657,1,1285974,645,5352,11575012,19163698,15,1403,2,713.0,528,604007,68097.0
52,75159d96-aba5-49fc-96a1-34fa22ef4770,51,Morocco,Africa,3.09,1.38,29.83,98.57,1162841,77,16056,0,1146202,65,583,11237010,37664392,32,2346,3,426.0,293,298346,30874.0
53,a2f0283a-7995-4463-889c-5bfef1e7796d,52,Bulgaria,Europe,16.51,3.22,139.08,80.08,1132398,1333,36425,29,906769,2133,189204,9538215,6858307,6,188,1,5311.0,235,1390754,165113.0
54,5de37feb-3a9b-42d2-8c09-345c543829a7,53,Hong Kong,Asia,14.62,0.63,477.0,0.0,1111629,10405,6962,192,1104667,0,0,36260319,7601795,7,1092,0,916.0,115,4769968,146232.0
55,28cc8b8a-2bf8-43a0-935a-02226843eecb,54,Croatia,Europe,26.87,1.42,114.48,97.56,1091511,1815,15495,10,1064830,2067,11186,4649565,4061639,4,262,1,3815.0,43,1144751,268737.0
56,49bd08ef-9b3b-49c0-b8e6-fa7816ff0700,55,Lebanon,Asia,16.1,0.94,70.81,96.01,1090208,378,10272,5,1046728,3743,33208,4795578,6772770,6,659,1,1517.0,186,708067,160969.0
57,e3509c74-070d-4629-b48e-478afa585c60,56,Cuba,North America,9.59,0.78,114.19,98.88,1085404,836,8508,0,1073210,695,3686,12920253,11314701,10,1330,1,752.0,23,1141900,95929.0
58,f7c6cb29-752b-4f13-b419-813680ad7e12,57,Singapore,Asia,17.89,0.12,395.93,95.16,1060723,7584,1239,13,1009408,0,50076,23477384,5929631,6,4786,0,209.0,28,3959333,178885.0
